run_key,provider,model_id,prompt_id,condition_id,sentence_id,sentence_text,expected_schema_primary,main_image_schema,literal_or_metaphorical,interpretation,schema_explanation
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0141|1,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,An apple moved downward away from the branch.,"Movement is construed as a path from a source point, with downward motion implied by falling."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0143|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moved downward along an inclined surface.,"Movement follows a path down a slope, with downward orientation and gravity implied."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0143|1,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moved downward along an inclined surface.,"Movement follows a path from higher to lower position, aided by gravity."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0144|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,A bird moved downward along a path toward a field.,"Movement is understood as a path from one location toward a goal, with downward orientation."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0144|1,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,A bird moved downward in the direction of the field.,"Movement is understood as a path from a source toward a goal, with downward direction implied."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0145|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,The climber arrived at the top of the mountain.,Movement along a path ends at a goal; reaching the summit also implies upward orientation.
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0145|1,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,The climber arrived at the top of the mountain.,Movement along a path ends at a goal; reaching the summit also implies upward orientation.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_0_v1|s0136|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_0_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moved from above into the pond.,Movement from one location to another ending inside a bounded region.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_0_v1|s0138|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_0_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,The ladder is physically resting at an angle against the wall.,The wall supports the leaning ladder; vertical orientation is also implied.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_0_v1|s0139|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_0_v1,s0139,The flag dropped to the ground.,VERTICALITY,SOURCE_PATH_GOAL,literal,The flag moved downward from a higher position to the ground.,Movement from one location to another with a downward direction toward a goal.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_0_v1|s0141|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_0_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,The apple moved away from the branch along a downward path.,Movement from a source toward a goal is central; falling also implies downward orientation.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_0_v1|s0143|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_0_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moved downward along a slope.,Movement follows a path from higher to lower position on a slanted surface.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_0_v1|s0144|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_0_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,A bird moved downward along a path toward the field.,Movement from one location toward another with downward orientation.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_0_v1|s0145|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_0_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,The climber moved along a route and arrived at the summit.,Movement from an implicit starting point to a goal; summit also implies upward orientation.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0136|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moves from one location into the pond.,Movement follows a path from outside to inside a bounded region; falling also implies downward motion.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0136|1,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,The stone moved from outside the pond to inside it.,"Movement follows a path into a bounded container, with downward motion implied by fell."
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0138|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,The ladder is physically resting at an angle against the wall.,The ladder depends on the wall for support and stability; its slanted orientation also evokes verticality.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0138|1,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,The ladder is physically leaning and being supported by the wall.,The ladder depends on the wall for stability; its slanted orientation also evokes verticality.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0139|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0139,The flag dropped to the ground.,VERTICALITY,SOURCE_PATH_GOAL,literal,The flag moved downward from a higher position to the ground.,Movement from source to goal with downward orientation is central.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0139|1,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0139,The flag dropped to the ground.,VERTICALITY,SOURCE_PATH_GOAL,literal,The flag moved downward from a higher position to the ground.,Movement from one location to another with a downward trajectory toward a goal.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0141|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,The apple moved away from the branch along a downward path.,Motion from a source toward a goal is central; falling also evokes downward orientation and loss of support.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0141|1,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,The apple moved away from the branch along a downward path.,Movement from a source toward a goal is central; falling also implies downward orientation.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0143|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moves downward along a slope.,Movement follows a path from higher to lower position on a slanted surface.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0143|1,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,The cup moved downward along a slope.,Movement follows a path from higher to lower position on a slanted surface.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0144|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,A bird moves downward along a path toward the field.,Movement from one location toward another with downward orientation.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0144|1,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,A bird moved downward along a path toward the field.,Movement from one place toward a goal is central; descending adds vertical down orientation.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0145|0,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,The climber moved along a route and arrived at the summit.,Movement from a starting point toward a destination is central; summit also implies upward location.
openai_gpt_5_4_mini|p_structured_roles_v1|c_temp_03_v1|s0145|1,openai,openai_gpt_5_4_mini,p_structured_roles_v1,c_temp_03_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,The climber moved along a route and arrived at the summit.,Movement from lower position to summit as destination; ascent implies vertical orientation.
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_0_v1|s0136|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_0_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moves from one location and ends up in the pond.,"The sentence clearly describes literal motion along a path toward a destination, which fits SOURCE_PATH_GOAL. 'Into the pond' also evokes CONTAINER because the pond is a bounded region the stone enters. 'Fell' adds a downward component, but the dominant structure is movement-to-goal rather than verticality alone."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_0_v1|s0138|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_0_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,The ladder is physically propped so that the wall supports it and keeps it stable.,"The sentence describes a concrete bodily/spatial arrangement in which one object leans on another for support. This clearly invokes the SUPPORT_BALANCE schema, with a secondary vertical orientation because the ladder is upright/angled against the wall. No abstract metaphor is needed."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_0_v1|s0141|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_0_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,An apple moves from its starting point on the branch and travels downward to a new location.,"The sentence clearly describes a literal physical event involving motion from a source location. SOURCE_PATH_GOAL is primary because the apple has an origin ('from the branch') and a movement event. VERTICALITY is secondary because 'fell' implies downward motion, but the main structure is source-to-path movement rather than an abstract metaphor."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_0_v1|s0143|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_0_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moves from a higher point to a lower point along a slope.,"The sentence clearly describes literal motion with an origin, a path, and a destination implied by the slope. The downward direction also invokes vertical orientation, but the dominant structure is movement along a path, so SOURCE_PATH_GOAL is primary."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_0_v1|s0144|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_0_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,"The sentence describes a bird moving along a path toward a destination, with downward motion implied by 'descended'.","There is a clear spatial-motion structure: the bird is traveling from one location toward another, which fits SOURCE_PATH_GOAL. The verb 'descended' also adds a vertical up/down component, so VERTICALITY is secondary. This is a literal physical event, not an abstract metaphor."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_0_v1|s0145|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_0_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,"The sentence describes a climber moving along a path toward a destination, with the summit as the goal.","A clear SOURCE_PATH_GOAL schema is present: the climber is the mover, the route is an implied path, and the summit is the destination/goal. Verticality is also relevant because summits are typically higher than the starting point, but the primary organizing structure is path-to-goal movement."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0136|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,"A stone moves from an initial location along a path and ends up in the pond, with entry into the pond as a bounded region and downward motion implied by fell.","The sentence clearly describes a concrete physical event involving movement from one location to another, which fits SOURCE_PATH_GOAL. 'Into the pond' also evokes CONTAINER because the pond is treated as a bounded region the stone enters. 'Fell' additionally suggests downward motion, so VERTICALITY is a secondary schema, but the main structure is path-to-goal movement."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0136|1,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moves from a higher position to a lower position and ends up inside the pond.,"The sentence clearly describes literal motion with an origin, a path, and a destination, which fits SOURCE_PATH_GOAL. 'Fell' also evokes VERTICALITY because of downward motion, and 'into the pond' adds a CONTAINER relation, but the main organizing structure is movement into a goal location."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0138|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,A ladder is physically propped so that it remains stable by resting against a wall.,"The sentence clearly evokes a concrete spatial/support relation: the ladder depends on the wall for stability and is held in a leaning, upright orientation. This fits SUPPORT_BALANCE, with a secondary VERTICALITY component because the ladder is oriented upward while leaning."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0138|1,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,The ladder is physically propped so that it remains stable by leaning on the wall.,"The sentence clearly evokes a concrete embodied relation of support/stability: the ladder depends on the wall to remain upright and not fall. Vertical orientation is also present because the ladder is angled upward against a vertical surface, but the dominant schema is support/balance rather than containment, path, or force."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0139|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0139,The flag dropped to the ground.,VERTICALITY,SOURCE_PATH_GOAL,literal,The flag moves from a higher position to the ground as its destination.,"The sentence describes a concrete physical event: the flag travels downward along a path and ends at a destination (the ground). This fits SOURCE_PATH_GOAL, with a secondary VERTICALITY aspect because the motion is downward."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0141|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,The sentence describes the apple moving from its origin on the branch along a path to a lower location.,"There is a clear literal motion event with an origin ('from the branch') and implied trajectory to a destination (the ground, though not stated). This fits SOURCE_PATH_GOAL. The verb 'fell' also evokes downward orientation, so VERTICALITY is a secondary schema."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0143|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moves from a higher point to a lower point while traversing the slope.,"The sentence clearly describes literal motion with an origin, path, and directional endpoint implied by 'slid down the slope,' which fits SOURCE_PATH_GOAL. The word 'down' also adds a vertical orientation component, so VERTICALITY is secondary."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0143|1,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moves from a higher point to a lower point along a slope.,"The sentence clearly describes literal motion with an origin, path, and directional endpoint, which fits SOURCE_PATH_GOAL. The word 'down' also adds a vertical orientation component, but the main organizing structure is movement along a path."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0144|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,A bird moves along a path toward a destination while descending in altitude.,"The sentence clearly describes literal motion with an origin/path/goal structure: the bird travels toward the field. It also includes a vertical change in height via 'descended,' so VERTICALITY is secondary. No metaphor is involved."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0144|1,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,"The sentence describes a bird moving along a path toward a destination, with downward orientation implied by 'descended'.","A clear SOURCE-PATH-GOAL schema is present because the bird moves from one location along a trajectory toward the field as destination. 'Descended' also adds a vertical down/up component, so VERTICALITY is secondary. This is a literal physical motion, not an abstract metaphor."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0145|0,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,"The sentence describes a climber moving along a path toward a destination, culminating at the summit.","A clear SOURCE-PATH-GOAL structure is present: the climber is the mover, the ascent is the path, and the summit is the destination. Verticality is also implicated because summits are typically higher elevations, but the primary organizing schema is path-to-goal movement."
openai_gpt_5_4_mini|p_direct_schema_v2_abstention|c_temp_03_v1|s0145|1,openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,c_temp_03_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,"The sentence describes a climber moving along a path to a destination, with an upward orientation toward the summit.","A clear SOURCE-PATH-GOAL structure is present: the climber starts from some lower point, traverses a route, and arrives at the summit as the destination. Verticality is also implicated because summits are typically higher points, but the dominant schema is path-to-goal movement."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_0_v1|s0136|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_0_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moves downward along a path and ends up inside the pond.,"The sentence clearly describes literal physical motion. The main structure is SOURCE-PATH-GOAL: the stone has a source location, moves along a path, and reaches the goal location in the pond. VERTICALITY is also present because 'fell' encodes downward motion, and CONTAINER is weakly relevant because the pond functions as a bounded region the stone enters."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_0_v1|s0138|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_0_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,A ladder is physically leaning with the wall providing support and helping maintain its balance.,"This sentence describes a concrete spatial/force relation: the ladder is not self-supporting and rests against the wall. The clearest embodied structure is SUPPORT_BALANCE, with a secondary VERTICALITY component because the ladder is upright/leaning in a vertical orientation. No container, path, blockage, or causal force schema is central here."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_0_v1|s0139|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_0_v1,s0139,The flag dropped to the ground.,VERTICALITY,SOURCE_PATH_GOAL,literal,The flag moves downward from a higher position to the ground along a path ending at a goal location.,"This sentence clearly describes literal physical motion. The main structure is SOURCE-PATH-GOAL: the flag has a source position, moves along a path, and reaches the ground as goal. VERTICALITY is secondary because the motion is downward/falling."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_0_v1|s0141|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_0_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,"The sentence describes a physical event in which the apple moves downward away from the branch, originating at the branch and ending below it.","A clear literal motion schema is present: the apple has a source (the branch) and undergoes movement along a path, with an implied downward direction. SOURCE_PATH_GOAL is primary because the sentence profiles motion from a starting point; VERTICALITY is secondary because 'fell' strongly encodes downward orientation."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_0_v1|s0143|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_0_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,A cup moves along a path from a higher point to a lower point on a slope.,The sentence clearly describes literal motion through space. The main structure is SOURCE-PATH-GOAL: the cup traverses a path on the slope. Verticality is also present because the motion is downward.
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_0_v1|s0144|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_0_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,"A bird moves along a path from a higher position toward a lower location, with the field functioning as the destination area.","The sentence clearly describes literal motion through space. SOURCE_PATH_GOAL is primary because there is a mover, a directional path, and a destination ('toward the field'). VERTICALITY is secondary because 'descended' encodes downward movement on a vertical axis."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_0_v1|s0145|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_0_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,The climber moved along a path of ascent and arrived at the summit as the goal.,"The sentence clearly evokes a physical traversal from a starting point toward a destination, which fits SOURCE_PATH_GOAL. The summit is also associated with upward elevation, so VERTICALITY is a secondary schema, but the primary structure is movement toward a goal."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_03_v1|s0136|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moves downward from an initial position and ends up inside the pond.,"The sentence clearly describes literal physical motion. The main structure is SOURCE-PATH-GOAL: the stone has a source location, follows a path of motion, and reaches the goal location in the pond. VERTICALITY is also present because 'fell' encodes downward motion. CONTAINER is secondary because the pond is construed as a bounded region that the stone enters."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_03_v1|s0136|1,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moves downward through space and ends up inside the pond.,"The sentence clearly describes literal physical motion. The main structure is SOURCE-PATH-GOAL: the stone has a source location, moves along a path, and reaches the goal location (the pond). VERTICALITY is also present because fell encodes downward motion. CONTAINER is secondary because the pond is construed as a bounded region that the stone enters."
openai_gpt_5_4_mini|p_structured_roles_v2_abstention|c_temp_03_v1|s0138|0,openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,c_temp_03_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,"A ladder is physically leaning, with the wall providing support and helping maintain its stable angled position.","This sentence clearly describes a concrete physical relation of support and balance: the ladder depends on the wall to remain upright/steady. Verticality is secondary because the ladder’s leaning posture involves an up/down orientation, but the dominant schema is SUPPORT_BALANCE rather than CONTAINER, PATH, or FORCE."
