run_key,provider,model_id,prompt_id,condition_id,sentence_id,main_image_schema,literal_or_metaphorical,schema_present,interpretation,schema_explanation,raw_response
gemini_2_5_flash|p_structured_roles_v2_abstention|c_temp_03_v1|s0058|0,google,gemini_2_5_flash,p_structured_roles_v2_abstention,c_temp_03_v1,s0058,CONTAINER,metaphorical,yes,"The analyst processed the extensive information within the report, extracting its core elements and presenting them in a more concise form.","The report is metaphorically understood as a CONTAINER holding a large volume of information. Summarizing involves extracting the essential content from this 'container' and presenting it in a condensed form, effectively creating a smaller, more manageable 'container' of information.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [
    ""physical containment"",
    ""volume reduction""
  ],
  ""target_domain"": [
    ""information processing"",
    ""knowledge representation""
  ],
  ""interpretation"": ""The analyst processed the extensive information within the report, extracting its core elements and presenting them in a more concise form."",
  ""schema_explanation"": ""The report is metaphorically understood as a CONTAINER holding a large volume of information. Summarizing involves extracting the essential content from this 'container' and presenting it in a condensed form, effectively creating a smaller, more manageable 'container' of information."",
  ""confidence"": ""high"",
  ""trajector"": ""the information (content of the report)"",
  ""landmark_or_container"": ""the report"",
  ""source"": """",
  ""path"": """",
  ""goal"": """",
  ""obstacle"": """",
  ""force"": """"
}"
gemini_2_5_flash|p_structured_roles_v2_abstention|c_temp_03_v1|s0058|1,google,gemini_2_5_flash,p_structured_roles_v2_abstention,c_temp_03_v1,s0058,CONTAINER,metaphorical,yes,"The analyst processed the extensive information within the report and extracted its essential points, presenting them in a condensed form.","The act of 'summarising' is understood metaphorically as taking a large volume of information (conceptualized as the content of a large container, the report) and reducing it to its core components, which are then presented in a more compact form (a smaller container, the summary). This involves extracting or condensing content within conceptual boundaries.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [
    ""physical containers and their contents""
  ],
  ""target_domain"": [
    ""information"",
    ""communication"",
    ""cognitive processing""
  ],
  ""interpretation"": ""The analyst processed the extensive information within the report and extracted its essential points, presenting them in a condensed form."",
  ""schema_explanation"": ""The act of 'summarising' is understood metaphorically as taking a large volume of information (conceptualized as the content of a large container, the report) and reducing it to its core components, which are then presented in a more compact form (a smaller container, the summary). This involves extracting or condensing content within conceptual boundaries."",
  ""confidence"": ""high"",
  ""trajector"": ""the information/content of the report"",
  ""landmark_or_container"": ""the report (as a large container of information); the summary (as a smaller, resulting container)"",
  ""source"": """",
  ""path"": """",
  ""goal"": """",
  ""obstacle"": """",
  ""force"": """"
}"
gemini_2_5_flash|p_structured_roles_v2_abstention|c_temp_03_v1|s0061|1,google,gemini_2_5_flash,p_structured_roles_v2_abstention,c_temp_03_v1,s0061,FORCE,metaphorical,yes,"The manager's decision acts as a causal force, changing the status of the invoice from unapproved to approved, thereby allowing it to proceed.","The act of 'approving' is conceptualized as the manager applying a metaphorical force (their authority or decision) to the invoice, which causes a change in its state or allows it to move forward in a process. This aligns with the FORCE schema where an agent exerts a causal force to effect a change.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [
    ""physical force"",
    ""causation""
  ],
  ""target_domain"": [
    ""administrative action"",
    ""authorization""
  ],
  ""interpretation"": ""The manager's decision acts as a causal force, changing the status of the invoice from unapproved to approved, thereby allowing it to proceed."",
  ""schema_explanation"": ""The act of 'approving' is conceptualized as the manager applying a metaphorical force (their authority or decision) to the invoice, which causes a change in its state or allows it to move forward in a process. This aligns with the FORCE schema where an agent exerts a causal force to effect a change."",
  ""confidence"": ""high"",
  ""trajector"": ""the invoice"",
  ""landmark_or_container"": """",
  ""source"": """",
  ""path"": """",
  ""goal"": """",
  ""obstacle"": """",
  ""force"": ""the manager's approval/authority""
}"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_0_v1|s0063|0,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_0_v1,s0063,FORCE,literal,yes,The clerk initiated the process of producing a physical receipt by means of a printer.,"The act of printing involves the printer applying physical force (e.g., pressure, impact, heat) to transfer ink or toner onto the paper to form the receipt. Additionally, the paper undergoes a SOURCE_PATH_GOAL movement as it passes through the printer mechanism.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [
    ""SOURCE_PATH_GOAL""
  ],
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The clerk initiated the process of producing a physical receipt by means of a printer."",
  ""schema_explanation"": ""The act of printing involves the printer applying physical force (e.g., pressure, impact, heat) to transfer ink or toner onto the paper to form the receipt. Additionally, the paper undergoes a SOURCE_PATH_GOAL movement as it passes through the printer mechanism."",
  ""confidence"": ""high""
}"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_03_v1|s0063|0,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_03_v1,s0063,FORCE,literal,yes,The clerk caused a printer to exert force to create a physical receipt.,"The act of 'printing' inherently involves the application of a physical force (mechanical action, ink transfer) by a device (the printer) onto a medium (paper) to produce an output (the receipt). The clerk is the agent initiating this force.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The clerk caused a printer to exert force to create a physical receipt."",
  ""schema_explanation"": ""The act of 'printing' inherently involves the application of a physical force (mechanical action, ink transfer) by a device (the printer) onto a medium (paper) to produce an output (the receipt). The clerk is the agent initiating this force."",
  ""confidence"": ""high""
}"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_03_v1|s0063|1,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_03_v1,s0063,FORCE,literal,yes,"The clerk initiated an action that caused a printer to apply physical force (e.g., pressure, ink ejection) to paper, resulting in a receipt.",The act of 'printing' inherently involves the application of physical force by a mechanism (the printer) onto a surface (the paper) to create an impression or deposit ink.,"{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The clerk initiated an action that caused a printer to apply physical force (e.g., pressure, ink ejection) to paper, resulting in a receipt."",
  ""schema_explanation"": ""The act of 'printing' inherently involves the application of physical force by a mechanism (the printer) onto a surface (the paper) to create an impression or deposit ink."",
  ""confidence"": ""high""
}"
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_0_v1|s0065|0,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_0_v1,s0065,VERTICALITY,uncertain,uncertain,"The word 'larger' invokes a scale or magnitude dimension, which can be grounded in VERTICALITY (MORE IS UP / BIGGER IS UP). However, font size is a literal physical/visual property (measured in points), so 'larger' may simply be a direct scalar comparison rather than a metaphorical mapping from a vertical embodied schema.","Font size is a measurable, perceptual magnitude. 'Larger' implies movement along a scale toward a greater value, which is weakly grounded in the VERTICALITY schema (MORE IS UP). However, because font size is a literal, directly perceivable spatial property rather than an abstract domain being structured by an embodied schema, the image-schema grounding is weak and the metaphorical reading is not clearly motivated. The sentence is closer to a literal scalar comparison. Confidence is low due to this ambiguity.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""VERTICALITY"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [""physical size"", ""vertical scale""],
  ""target_domain"": [""typographic size selection""],
  ""interpretation"": ""The word 'larger' invokes a scale or magnitude dimension, which can be grounded in VERTICALITY (MORE IS UP / BIGGER IS UP). However, font size is a literal physical/visual property (measured in points), so 'larger' may simply be a direct scalar comparison rather than a metaphorical mapping from a vertical embodied schema."",
  ""schema_explanation"": ""Font size is a measurable, perceptual magnitude. 'Larger' implies movement along a scale toward a greater value, which is weakly grounded in the VERTICALITY schema (MORE IS UP). However, because font size is a literal, directly perceivable spatial property rather than an abstract domain being structured by an embodied schema, the image-schema grounding is weak and the metaphorical reading is not clearly motivated. The sentence is closer to a literal scalar comparison. Confidence is low due to this ambiguity."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_03_v1|s0065|0,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_03_v1,s0065,VERTICALITY,uncertain,uncertain,"The word 'larger' invokes a scale with a vertical or magnitude orientation — MORE IS UP / BIGGER IS MORE — applied to font size. However, font size is also a fairly literal, measurable physical property (point size), so the verticality/scale structure may be only weakly metaphorical.","The adjective 'larger' activates a scalar magnitude structure that is grounded in VERTICALITY (MORE IS UP). Font size is a quantitative, measurable dimension, so 'larger' maps a scale schema onto a typographic property. The schema is present but the degree to which this is genuinely metaphorical versus a near-literal use of a size scale is debatable, hence the 'uncertain' confidence rating.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""VERTICALITY"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [""vertical scale"", ""physical size/magnitude""],
  ""target_domain"": [""font size"", ""typographic selection""],
  ""interpretation"": ""The word 'larger' invokes a scale with a vertical or magnitude orientation — MORE IS UP / BIGGER IS MORE — applied to font size. However, font size is also a fairly literal, measurable physical property (point size), so the verticality/scale structure may be only weakly metaphorical."",
  ""schema_explanation"": ""The adjective 'larger' activates a scalar magnitude structure that is grounded in VERTICALITY (MORE IS UP). Font size is a quantitative, measurable dimension, so 'larger' maps a scale schema onto a typographic property. The schema is present but the degree to which this is genuinely metaphorical versus a near-literal use of a size scale is debatable, hence the 'uncertain' confidence rating."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_03_v1|s0065|1,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_03_v1,s0065,VERTICALITY,uncertain,uncertain,"The word 'larger' invokes a scale with a vertical or magnitude orientation — MORE IS UP — applied to font size. However, font size is a measurable physical property (point size), so 'larger' may be closer to a literal scalar comparison than a metaphorical mapping. The image-schema signal is weak.","The adjective 'larger' implies a position higher on a scale of magnitude, which is grounded in the VERTICALITY schema (MORE IS UP). Yet font size is a concrete, quantifiable dimension, making this a borderline case between a literal scalar description and a metaphorical verticality mapping. Because the schema signal is not strong enough to confidently assert a metaphorical structure, and the sentence is otherwise a straightforward report of a design decision, confidence is low.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""VERTICALITY"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [""vertical scale"", ""physical magnitude""],
  ""target_domain"": [""font size"", ""typographic selection""],
  ""interpretation"": ""The word 'larger' invokes a scale with a vertical or magnitude orientation — MORE IS UP — applied to font size. However, font size is a measurable physical property (point size), so 'larger' may be closer to a literal scalar comparison than a metaphorical mapping. The image-schema signal is weak."",
  ""schema_explanation"": ""The adjective 'larger' implies a position higher on a scale of magnitude, which is grounded in the VERTICALITY schema (MORE IS UP). Yet font size is a concrete, quantifiable dimension, making this a borderline case between a literal scalar description and a metaphorical verticality mapping. Because the schema signal is not strong enough to confidently assert a metaphorical structure, and the sentence is otherwise a straightforward report of a design decision, confidence is low."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_0_v1|s0065|0,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_0_v1,s0065,VERTICALITY,uncertain,uncertain,"The word 'larger' invokes a scalar or size dimension, which is weakly associated with VERTICALITY (MORE IS UP / BIGGER IS MORE). However, 'larger' here refers to physical size of a visual object (font), so the scalar structure may be literal rather than metaphorical. The sentence is primarily a factual reporting of a design decision.","The adjective 'larger' implies a scale or magnitude dimension. In many contexts this recruits a VERTICALITY or scalar schema (MORE IS UP), but here 'larger' describes a directly perceivable physical property of a font (its rendered size), making the spatial structure, if present, literal rather than metaphorical. The overall sentence is nonetheless close to a control: it reports a design choice without foregrounding any clear force-dynamic or spatial-relational structure. Confidence is low because the schema, if present, is weak and the sentence functions primarily as a factual report.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""VERTICALITY"",
  ""secondary_image_schemas"": [],
  ""trajector"": ""font"",
  ""landmark_or_container"": """",
  ""source"": """",
  ""path"": """",
  ""goal"": """",
  ""obstacle"": """",
  ""force"": """",
  ""source_domain"": [""physical size/scale""],
  ""target_domain"": [""typographic scale"", ""visual prominence""],
  ""interpretation"": ""The word 'larger' invokes a scalar or size dimension, which is weakly associated with VERTICALITY (MORE IS UP / BIGGER IS MORE). However, 'larger' here refers to physical size of a visual object (font), so the scalar structure may be literal rather than metaphorical. The sentence is primarily a factual reporting of a design decision."",
  ""schema_explanation"": ""The adjective 'larger' implies a scale or magnitude dimension. In many contexts this recruits a VERTICALITY or scalar schema (MORE IS UP), but here 'larger' describes a directly perceivable physical property of a font (its rendered size), making the spatial structure, if present, literal rather than metaphorical. The overall sentence is nonetheless close to a control: it reports a design choice without foregrounding any clear force-dynamic or spatial-relational structure. Confidence is low because the schema, if present, is weak and the sentence functions primarily as a factual report."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_03_v1|s0065|0,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_03_v1,s0065,VERTICALITY,uncertain,uncertain,"The word 'larger' invokes a scalar or size dimension, which is weakly related to VERTICALITY (more = up, bigger = higher on a scale). However, 'larger' here refers to physical size of a font, which is a literal spatial property (physical dimensions of glyphs), not clearly metaphorical. The sentence is primarily a factual reporting sentence about a design decision.","The adjective 'larger' implies a scale or size dimension. Font size is a literal physical/spatial property (measured in points), so there is a weak case for a literal scalar/size schema. However, the sentence as a whole functions as a straightforward factual report of a design choice, and the size comparison does not clearly activate a robust VERTICALITY or other image-schema structure. The schema signal is too weak to classify with high confidence; NONE or VERTICALITY are both defensible.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""VERTICALITY"",
  ""secondary_image_schemas"": [],
  ""trajector"": ""font"",
  ""landmark_or_container"": """",
  ""source"": """",
  ""path"": """",
  ""goal"": """",
  ""obstacle"": """",
  ""force"": """",
  ""source_domain"": [""physical size/scale""],
  ""target_domain"": [""typographic scale""],
  ""interpretation"": ""The word 'larger' invokes a scalar or size dimension, which is weakly related to VERTICALITY (more = up, bigger = higher on a scale). However, 'larger' here refers to physical size of a font, which is a literal spatial property (physical dimensions of glyphs), not clearly metaphorical. The sentence is primarily a factual reporting sentence about a design decision."",
  ""schema_explanation"": ""The adjective 'larger' implies a scale or size dimension. Font size is a literal physical/spatial property (measured in points), so there is a weak case for a literal scalar/size schema. However, the sentence as a whole functions as a straightforward factual report of a design choice, and the size comparison does not clearly activate a robust VERTICALITY or other image-schema structure. The schema signal is too weak to classify with high confidence; NONE or VERTICALITY are both defensible."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_03_v1|s0065|1,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_03_v1,s0065,VERTICALITY,uncertain,uncertain,"The word 'larger' invokes a scalar or size dimension, which is weakly associated with VERTICALITY (more = up, bigger = higher on a scale). However, 'larger' here refers to physical size of a typeface, which is a relatively literal spatial property (font size is a measurable spatial quantity), not clearly a metaphorical mapping onto an abstract domain. The sentence as a whole is primarily a factual reporting statement about a design decision.","Font size is a genuine spatial/physical property (measured in points), so 'larger' is closer to literal spatial description than metaphor. However, the sentence structure ('chose a larger font') is primarily an administrative/factual report of a decision, and the image-schema content is weak and incidental. VERTICALITY is tentatively flagged because size scales are often conceptualised vertically (larger = higher), but this is speculative. NONE would also be defensible here.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""VERTICALITY"",
  ""secondary_image_schemas"": [],
  ""trajector"": ""font"",
  ""landmark_or_container"": """",
  ""source"": """",
  ""path"": """",
  ""goal"": """",
  ""obstacle"": """",
  ""force"": """",
  ""source_domain"": [""physical size/scale""],
  ""target_domain"": [""typographic scale"", ""visual weight""],
  ""interpretation"": ""The word 'larger' invokes a scalar or size dimension, which is weakly associated with VERTICALITY (more = up, bigger = higher on a scale). However, 'larger' here refers to physical size of a typeface, which is a relatively literal spatial property (font size is a measurable spatial quantity), not clearly a metaphorical mapping onto an abstract domain. The sentence as a whole is primarily a factual reporting statement about a design decision."",
  ""schema_explanation"": ""Font size is a genuine spatial/physical property (measured in points), so 'larger' is closer to literal spatial description than metaphor. However, the sentence structure ('chose a larger font') is primarily an administrative/factual report of a decision, and the image-schema content is weak and incidental. VERTICALITY is tentatively flagged because size scales are often conceptualised vertically (larger = higher), but this is speculative. NONE would also be defensible here."",
  ""confidence"": ""low""
}
```"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_03_v1|s0065|1,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_03_v1,s0065,VERTICALITY,literal,yes,The designer selected a font that has greater physical dimensions (height and width) compared to a smaller font.,"The term 'larger' directly refers to an increase in physical size or extent. While not strictly 'up' or 'down' movement, the concept of 'larger' maps to the VERTICALITY schema as an increase on a scale, often conceptualized as extending upwards or outwards in space. A larger font occupies more physical space, particularly in terms of its height.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""VERTICALITY"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The designer selected a font that has greater physical dimensions (height and width) compared to a smaller font."",
  ""schema_explanation"": ""The term 'larger' directly refers to an increase in physical size or extent. While not strictly 'up' or 'down' movement, the concept of 'larger' maps to the VERTICALITY schema as an increase on a scale, often conceptualized as extending upwards or outwards in space. A larger font occupies more physical space, particularly in terms of its height."",
  ""confidence"": ""high""
}"
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_03_v1|s0066|0,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_03_v1,s0066,FORCE,uncertain,uncertain,"The waiter applies physical force (scrubbing, wiping) to the table surface to remove dirt or debris. This is a literal physical action involving directed force.","Cleaning involves the application of mechanical force to a surface — pushing, rubbing, or wiping — which maps onto the FORCE schema (pressure, pushing). However, the sentence does not make the force dynamics explicit; it merely names the action ('cleaned'). The FORCE schema is weakly implied by the semantics of cleaning rather than overtly encoded in the sentence structure. Given the decision procedure's instruction to prefer NONE over weak assignments, this is rated 'uncertain' rather than a confident 'yes'.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [""physical exertion"", ""applied pressure to surface""],
  ""target_domain"": [],
  ""interpretation"": ""The waiter applies physical force (scrubbing, wiping) to the table surface to remove dirt or debris. This is a literal physical action involving directed force."",
  ""schema_explanation"": ""Cleaning involves the application of mechanical force to a surface — pushing, rubbing, or wiping — which maps onto the FORCE schema (pressure, pushing). However, the sentence does not make the force dynamics explicit; it merely names the action ('cleaned'). The FORCE schema is weakly implied by the semantics of cleaning rather than overtly encoded in the sentence structure. Given the decision procedure's instruction to prefer NONE over weak assignments, this is rated 'uncertain' rather than a confident 'yes'."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_03_v1|s0066|1,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_03_v1,s0066,FORCE,literal,yes,"The waiter applies directed physical force to the table surface, moving across it to remove dirt or debris. The action is a literal, embodied force-dynamic event.","FORCE is primary: cleaning involves the waiter exerting physical pressure and effort against the table surface to displace unwanted material. A secondary SOURCE_PATH_GOAL structure is present in that the cleaning action typically involves traversal across the surface from one area to another, implying a path of motion. Both schemas operate literally on a concrete physical event with no abstract target domain.","```json
{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [""SOURCE_PATH_GOAL""],
  ""source_domain"": [""physical action"", ""manual labour"", ""surface contact""],
  ""target_domain"": [],
  ""interpretation"": ""The waiter applies directed physical force to the table surface, moving across it to remove dirt or debris. The action is a literal, embodied force-dynamic event."",
  ""schema_explanation"": ""FORCE is primary: cleaning involves the waiter exerting physical pressure and effort against the table surface to displace unwanted material. A secondary SOURCE_PATH_GOAL structure is present in that the cleaning action typically involves traversal across the surface from one area to another, implying a path of motion. Both schemas operate literally on a concrete physical event with no abstract target domain."",
  ""confidence"": ""medium""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_0_v1|s0066|0,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_0_v1,s0066,FORCE,literal,yes,"The waiter exerts directed physical force upon the table surface, moving across it to remove dirt or debris, resulting in a changed state (clean). The action involves both a force dynamic (agent applying effort to an object) and a path-like traversal of the surface.","Cleaning is a prototypically force-dynamic action: the waiter (force-applier/trajector) exerts physical pressure or friction against the table (landmark/affected object). A secondary SOURCE_PATH_GOAL structure is present in that the cleaning motion traverses the table surface toward the goal-state of cleanliness. Both schemas are grounded in clear embodied, physical structure.","```json
{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [""SOURCE_PATH_GOAL""],
  ""trajector"": ""waiter"",
  ""landmark_or_container"": ""table"",
  ""source"": """",
  ""path"": ""surface of the table (traversed by cleaning action)"",
  ""goal"": ""clean state of the table"",
  ""obstacle"": """",
  ""force"": ""physical effort applied by the waiter to the table surface"",
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The waiter exerts directed physical force upon the table surface, moving across it to remove dirt or debris, resulting in a changed state (clean). The action involves both a force dynamic (agent applying effort to an object) and a path-like traversal of the surface."",
  ""schema_explanation"": ""Cleaning is a prototypically force-dynamic action: the waiter (force-applier/trajector) exerts physical pressure or friction against the table (landmark/affected object). A secondary SOURCE_PATH_GOAL structure is present in that the cleaning motion traverses the table surface toward the goal-state of cleanliness. Both schemas are grounded in clear embodied, physical structure."",
  ""confidence"": ""high""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_03_v1|s0066|0,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_03_v1,s0066,FORCE,literal,yes,"The waiter applies directed physical force to the table surface, moving across it to remove dirt or debris. The action involves a causal force agent (waiter) exerting effort on a landmark (table), with a secondary path structure as the cleaning motion traverses the surface toward a goal state (cleanliness).",FORCE is primary: the waiter is the force-exerter acting causally on the table. SOURCE_PATH_GOAL is secondary: the cleaning action implies traversal of the table surface from an initial dirty state toward a goal clean state.,"```json
{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [""SOURCE_PATH_GOAL""],
  ""trajector"": ""waiter"",
  ""landmark_or_container"": ""table"",
  ""source"": """",
  ""path"": ""surface of the table (traversed by cleaning action)"",
  ""goal"": ""clean state of the table"",
  ""obstacle"": """",
  ""force"": ""physical effort applied by the waiter to the table surface"",
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The waiter applies directed physical force to the table surface, moving across it to remove dirt or debris. The action involves a causal force agent (waiter) exerting effort on a landmark (table), with a secondary path structure as the cleaning motion traverses the surface toward a goal state (cleanliness)."",
  ""schema_explanation"": ""FORCE is primary: the waiter is the force-exerter acting causally on the table. SOURCE_PATH_GOAL is secondary: the cleaning action implies traversal of the table surface from an initial dirty state toward a goal clean state."",
  ""confidence"": ""high""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_03_v1|s0066|1,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_03_v1,s0066,FORCE,literal,yes,"The waiter applies directed physical force (wiping, scrubbing) across the table surface, with the goal of removing dirt. The action involves both a force dynamic (agent exerting effort on a surface) and a path-like traversal of that surface toward a resultant clean state.","FORCE is primary: the waiter exerts causal physical force on the table to effect a change of state. SOURCE_PATH_GOAL is secondary: the cleaning action traces a path across the table surface from a dirty state (source) to a clean state (goal), reflecting the directed, goal-oriented nature of the activity.","```json
{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [""SOURCE_PATH_GOAL""],
  ""trajector"": ""waiter"",
  ""landmark_or_container"": ""table"",
  ""source"": """",
  ""path"": ""surface of the table (traversed by cleaning action)"",
  ""goal"": ""clean state of the table"",
  ""obstacle"": """",
  ""force"": ""physical effort applied by the waiter to the table surface"",
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The waiter applies directed physical force (wiping, scrubbing) across the table surface, with the goal of removing dirt. The action involves both a force dynamic (agent exerting effort on a surface) and a path-like traversal of that surface toward a resultant clean state."",
  ""schema_explanation"": ""FORCE is primary: the waiter exerts causal physical force on the table to effect a change of state. SOURCE_PATH_GOAL is secondary: the cleaning action traces a path across the table surface from a dirty state (source) to a clean state (goal), reflecting the directed, goal-oriented nature of the activity."",
  ""confidence"": ""high""
}
```"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_0_v1|s0066|0,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_0_v1,s0066,FORCE,literal,yes,The waiter physically applied effort to remove dirt or stains from the surface of the table.,"The act of 'cleaning' inherently involves the application of physical force (e.g., wiping, scrubbing, rubbing) by an agent (the waiter) to an object (the table) to achieve a desired state. This exertion of force is central to the action. Additionally, the cleaning action typically involves movement across the surface of the table, which can be understood as a SOURCE_PATH_GOAL schema.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [
    ""SOURCE_PATH_GOAL""
  ],
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The waiter physically applied effort to remove dirt or stains from the surface of the table."",
  ""schema_explanation"": ""The act of 'cleaning' inherently involves the application of physical force (e.g., wiping, scrubbing, rubbing) by an agent (the waiter) to an object (the table) to achieve a desired state. This exertion of force is central to the action. Additionally, the cleaning action typically involves movement across the surface of the table, which can be understood as a SOURCE_PATH_GOAL schema."",
  ""confidence"": ""high""
}"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_03_v1|s0066|0,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_03_v1,s0066,FORCE,literal,yes,"The waiter applied physical effort and pressure to the table's surface to remove dirt or impurities, making it clean.","The act of 'cleaning' inherently involves the application of physical force (e.g., wiping, scrubbing, rubbing) by an agent (the waiter) onto a surface (the table) to achieve a desired state (cleanliness). This direct application of effort and pressure aligns with the FORCE image schema.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""literal"",
  ""main_image_schema"": ""FORCE"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [],
  ""target_domain"": [],
  ""interpretation"": ""The waiter applied physical effort and pressure to the table's surface to remove dirt or impurities, making it clean."",
  ""schema_explanation"": ""The act of 'cleaning' inherently involves the application of physical force (e.g., wiping, scrubbing, rubbing) by an agent (the waiter) onto a surface (the table) to achieve a desired state (cleanliness). This direct application of effort and pressure aligns with the FORCE image schema."",
  ""confidence"": ""high""
}"
