sentence_id,n,false_positive_n,false_positive_rate,predicted_schemas,providers,prompts,sentence_text
s0134,36,23,0.6388888888888888,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The student saved the file.
s0032,36,22,0.6111111111111112,FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The photographer adjusted the lens.
s0091,36,21,0.5833333333333334,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The student memorised the definition.
s0099,36,21,0.5833333333333334,CONTAINER; FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The artist mixed the colour.
s0066,36,20,0.5555555555555556,FORCE; NONE; SOURCE_PATH_GOAL; SUPPORT_BALANCE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The waiter cleaned the table.
s0199,36,20,0.5555555555555556,CONTAINER; FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The researcher saved the transcript.
s0033,36,18,0.5,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The librarian sorted the records.
s0164,36,18,0.5,FORCE; NONE; SOURCE_PATH_GOAL; SUPPORT_BALANCE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The musician tuned the violin.
s0165,36,18,0.5,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The chef tasted the sauce.
s0065,36,17,0.4722222222222222,CONTAINER; NONE; VERTICALITY,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The designer chose a larger font.
s0200,36,16,0.4444444444444444,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The assistant organised the files.
s0058,36,15,0.4166666666666667,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The analyst summarised the report.
s0194,36,14,0.3888888888888889,BLOCKAGE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The teacher explained the grammar.
s0092,36,12,0.3333333333333333,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The baker measured the flour.
s0192,36,12,0.3333333333333333,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The nurse recorded the temperature.
s0124,36,11,0.3055555555555556,NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The lecturer explained the example.
s0030,36,10,0.2777777777777778,FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The student copied the timetable.
s0063,36,10,0.2777777777777778,FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The clerk printed the receipt.
s0127,36,10,0.2777777777777778,CONTAINER; NONE; SOURCE_PATH_GOAL; VERTICALITY,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The doctor updated the notes.
s0029,36,9,0.25,CONTAINER; FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The editor corrected the final paragraph.
s0061,36,9,0.25,FORCE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The manager approved the invoice.
s0060,36,8,0.2222222222222222,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The actor rehearsed the opening scene.
s0068,36,8,0.2222222222222222,FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The visitor signed the form.
s0094,36,8,0.2222222222222222,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The assistant answered the email.
s0062,36,7,0.19444444444444445,CONTAINER; FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The poet revised the first stanza.
s0093,36,7,0.19444444444444445,CONTAINER; FORCE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The scientist labelled the samples.
s0132,36,7,0.19444444444444445,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The mechanic inspected the engine.
s0162,36,7,0.19444444444444445,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The researcher coded the interview.
s0166,36,7,0.19444444444444445,FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The journalist edited the headline.
s0193,36,7,0.19444444444444445,NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The writer drafted the introduction.
s0196,36,7,0.19444444444444445,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The engineer updated the diagram.
s0031,36,6,0.16666666666666666,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The chef prepared a simple salad.
s0059,36,6,0.16666666666666666,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The nurse checked the appointment list.
s0126,36,6,0.16666666666666666,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The lawyer read the contract.
s0159,36,6,0.16666666666666666,FORCE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The teacher praised the answer.
s0163,36,6,0.16666666666666666,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The assistant booked the room.
s0195,36,6,0.16666666666666666,NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The librarian renewed the card.
s0064,36,5,0.1388888888888889,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The child counted the marbles.
s0067,36,5,0.1388888888888889,FORCE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The engineer tested the sensor.
s0101,36,5,0.1388888888888889,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The buyer selected the cheaper model.
s0131,36,5,0.1388888888888889,NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The director scheduled the meeting.
s0190,36,5,0.1388888888888889,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The editor selected the title.
s0024,36,4,0.1111111111111111,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The committee reviewed the proposal carefully.
s0096,36,4,0.1111111111111111,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The pianist read the score.
s0157,36,4,0.1111111111111111,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The reader enjoyed the novel.
s0160,36,4,0.1111111111111111,NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The vendor counted the tickets.
s0198,36,4,0.1111111111111111,NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The accountant prepared the invoice.
s0034,36,3,0.08333333333333333,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The researcher noted the date.
s0095,36,3,0.08333333333333333,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The journalist checked the quotation.
s0097,36,3,0.08333333333333333,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The accountant checked the totals.
s0100,36,3,0.08333333333333333,NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The coach named the players.
s0133,36,3,0.08333333333333333,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The translator checked the phrase.
s0191,36,3,0.08333333333333333,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The group discussed the schedule.
s0026,36,1,0.027777777777777776,FORCE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The teacher marked the essays yesterday.
s0028,36,1,0.027777777777777776,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The customer compared two prices.
s0128,36,1,0.027777777777777776,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The analyst compared the figures.
